word,pos
(కోసి),NOUN
(జాడి),NOUN
(పిట్టె),NOUN
(పుడి),NOUN
(మర్ర),NOUN
(మహ్న),NOUN
(మీన్),NOUN
ంక,NOUN
ంగా,PRON
ంగా,VERB
ంచ,NOUN
ంటా,NOUN
ంటున్న,NOUN
ంటూ,VERB
ండా,NOUN
ండి,NOUN
ండి,NUM
ండి,PRON
ండి,VERB
ండీ,VERB
ండే,NOUN
ండ్,VERB
ంద,NOUN
ంద,VERB
ందా,VERB
ంబ,PROPN
ంలో,NOUN
అంగుర్,NOUN
అంచు,NOUN
అంచె,NOUN
అంటార్కిటికా,ADJ
అంటి,ADV
అండ్త,VERB
అంతర్,NOUN
అందూని,NOUN
అందెజ,NOUN
అంబడి,NOUN
అకుర్పోక్,NOUN
అక్కల్,NOUN
అక్కో,NOUN
అక్ర,NUM
అక్సేదంగ్,NOUN
అక్సేదన,NOUN
అక్సేర్,NOUN
అగ్గ,ADV
అచనక్,ADV
అచోట్క,NOUN
అచ్చీర్,PRON
అచ్చోర్,ADV
అచ్చోర్,NOUN
అట్వల్,NOUN
అట్వ్,NUM
అడిచ్,NUM
అడ్,NOUN
అడ్కుట్వల్,ADJ
అడ్డంవడి,NOUN
అడ్డబుడ్డ,ADJ
అడ్డమ్,ADV
అడ్డమ్,VERB
అడ్డె,NOUN
అదికారి,NOUN
అదికార్,NOUN
అదిక్,NOUN
అదిక్న,ADJ
అదెన్,PRON
అద్,NOUN
అద్,PRON
అద్మ,VERB
అప్టెమాయ్వల్,VERB
అబ్రి,ADV
అబ్లుక్,NOUN
అమ్డి,VERB
అయిన,NOUN
అయ్యెకె,VERB
అర,VERB
అర్దా,ADV
అర్పన,NOUN
అర్సివాయొ,NOUN
అలగ్,ADV
అల్,NOUN
అల్జ్,NOUN
అల్లం,NOUN
అల్వట్,NOUN
అస్సన్,NOUN
అహె్న,ADV
అహ్చ్చ₁,VERB
అహ్చ్చ₂,NOUN
ఆంగ్డె,NOUN
ఆంజ్,VERB
ఆకడి,NOUN
ఆకార్,NOUN
ఆకి,NOUN
ఆకుడ్,NOUN
ఆక్డె,VERB
ఆక్రి,ADJ
ఆగమె,ADV
ఆగుటి,VERB
ఆగె,NOUN
ఆగ్,VERB
ఆగ్రమ్,NOUN
ఆచంద్రల్,ADJ
ఆచర్,NOUN
ఆచారం,NOUN
ఆచ్,NOUN
ఆచ్త,ADJ
ఆజి,NOUN
ఆజుడ్,NOUN
ఆజున్,NOUN
ఆజ్,NOUN
ఆజ్దుడీ,NOUN
ఆటి,NOUN
ఆటి,VERB
ఆటె,VERB
ఆటెర,NOUN
ఆట్కుటుడి,NOUN
ఆడ-పి₂,NOUN
ఆడె,NOUN
ఆడెందల్,ADJ
ఆడ్కుట్,NOUN
ఆడ్మాడ్సొ,NOUN
ఆత,VERB
ఆతంగ్,ADJ
ఆతకామ్,NOUN
ఆతల్,ADJ
ఆతి,NOUN
ఆతెకె,ADV
ఆతెర్,NOUN
ఆతొర్,NOUN
ఆతోర్,VERB
ఆత్మ,NOUN
ఆమ్,VERB
ఆయ్యక్కై,VERB
ఆయ్యల్,NOUN
