word,pos
(కోసి),NOUN
(కోస),NOUN
(జాడి),NOUN
(జాడ),NOUN
(పిట్టె),NOUN
(పి్టె),NOUN
(పుడి),NOUN
(పడి),NOUN
(మర్ర),NOUN
(ర్ర),NOUN
(మహ్న),NOUN
(మహన),NOUN
(మీన్),NOUN
(మీన),NOUN
ంక,NOUN
ంక,NOUN
ంగా,PRON
ంగా,PRON
ంగా,VERB
ంగా,VERB
ంచ,NOUN
ంచ,NOUN
ంటా,NOUN
ంటా,NOUN
ంటున్న,NOUN
ంున్న,NOUN
ంటూ,VERB
ంటూ,VERB
ండా,NOUN
ండా,NOUN
ండి,NOUN
ండి,NOUN
ండి,NUM
ండి,NUM
ండి,PRON
ండి,PRON
ండి,VERB
ండి,VERB
ండీ,VERB
ండీ,VERB
ండే,NOUN
ండే,NOUN
ండ్,VERB
ండ్,VERB
ంద,NOUN
ంద,NOUN
ంద,VERB
ంద,VERB
ందా,VERB
ందా,VERB
ంబ,PROPN
ంబ,PROPN
ంలో,NOUN
ంలో,NOUN
అంగుర్,NOUN
అంగర్,NOUN
అంచు,NOUN
అచు,NOUN
అంచె,NOUN
అంె,NOUN
అంటార్కిటికా,ADJ
అంటార్కటికా,ADJ
అంటి,ADV
అంి,ADV
అండ్త,VERB
అం్త,VERB
అంతర్,NOUN
అతర్,NOUN
అందూని,NOUN
అందని,NOUN
అందెజ,NOUN
అంెజ,NOUN
అంబడి,NOUN
అంబి,NOUN
అకుర్పోక్,NOUN
అకుర్పో్,NOUN
అక్కల్,NOUN
అ్కల్,NOUN
అక్కో,NOUN
అక్ో,NOUN
అక్ర,NUM
అ్ర,NUM
అక్సేదంగ్,NOUN
అక్సేంగ్,NOUN
అక్సేదన,NOUN
అక్ేదన,NOUN
అక్సేర్,NOUN
అకసేర్,NOUN
అగ్గ,ADV
అ్గ,ADV
అచనక్,ADV
అచక్,ADV
అచోట్క,NOUN
అచోటక,NOUN
అచ్చీర్,PRON
అచచీర్,PRON
అచ్చోర్,ADV
అచచోర్,ADV
అచ్చోర్,NOUN
అచ్చర్,NOUN
అట్వల్,NOUN
అట్ల్,NOUN
అట్వ్,NUM
అటవ్,NUM
అడిచ్,NUM
అడి్,NUM
అడ్,NOUN
అడ్,NOUN
అడ్కుట్వల్,ADJ
అడ్కుటవల్,ADJ
అడ్డంవడి,NOUN
అ్డంవడి,NOUN
అడ్డబుడ్డ,ADJ
అడ్డుడ్డ,ADJ
అడ్డమ్,ADV
అడ్డ్,ADV
అడ్డమ్,VERB
అడడమ్,VERB
అడ్డె,NOUN
అడ్ె,NOUN
అదికారి,NOUN
అికారి,NOUN
అదికార్,NOUN
అికార్,NOUN
అదిక్,NOUN
అిక్,NOUN
అదిక్న,ADJ
అిక్న,ADJ
అదెన్,PRON
అదన్,PRON
అద్,NOUN
అద్,NOUN
అద్,PRON
అద్,PRON
అద్మ,VERB
అదమ,VERB
అప్టెమాయ్వల్,VERB
అప్టెమాయ్వ్,VERB
అబ్రి,ADV
అబరి,ADV
అబ్లుక్,NOUN
అబ్లు్,NOUN
అమ్డి,VERB
అ్డి,VERB
అయిన,NOUN
అిన,NOUN
అయ్యెకె,VERB
అయ్యకె,VERB
అర,VERB
అర,VERB
అర్దా,ADV
అ్దా,ADV
అర్పన,NOUN
అ్పన,NOUN
అర్సివాయొ,NOUN
అర్సివయొ,NOUN
అలగ్,ADV
అల్,ADV
అల్,NOUN
అల్,NOUN
అల్జ్,NOUN
అ్జ్,NOUN
అల్లం,NOUN
అల్ం,NOUN
అల్వట్,NOUN
అలవట్,NOUN
అస్సన్,NOUN
అస్స్,NOUN
అహె్న,ADV
అహెన,ADV
అహ్చ్చ₁,VERB
అహచ్చ₁,VERB
అహ్చ్చ₂,NOUN
అహ్్చ₂,NOUN
ఆంగ్డె,NOUN
ఆగ్డె,NOUN
ఆంజ్,VERB
ఆం్,VERB
ఆకడి,NOUN
ఆకి,NOUN
ఆకార్,NOUN
ఆార్,NOUN
ఆకి,NOUN
ఆకి,NOUN
ఆకుడ్,NOUN
ఆకడ్,NOUN
ఆక్డె,VERB
ఆకడె,VERB
ఆక్రి,ADJ
ఆక్ి,ADJ
ఆగమె,ADV
ఆమె,ADV
ఆగుటి,VERB
ఆగటి,VERB
ఆగె,NOUN
ఆగె,NOUN
ఆగ్,VERB
ఆగ్,VERB
ఆగ్రమ్,NOUN
ఆగ్ర్,NOUN
ఆచంద్రల్,ADJ
ఆచంద్ల్,ADJ
ఆచర్,NOUN
ఆచ్,NOUN
ఆచారం,NOUN
ఆచాం,NOUN
ఆచ్,NOUN
ఆచ్,NOUN
ఆచ్త,ADJ
ఆ్త,ADJ
ఆజి,NOUN
ఆజి,NOUN
ఆజుడ్,NOUN
ఆుడ్,NOUN
ఆజున్,NOUN
ఆజు్,NOUN
ఆజ్,NOUN
ఆజ్,NOUN
ఆజ్దుడీ,NOUN
ఆజదుడీ,NOUN
ఆటి,NOUN
ఆటి,NOUN
ఆటి,VERB
ఆటి,VERB
ఆటె,VERB
ఆటె,VERB
ఆటెర,NOUN
ఆటర,NOUN
ఆట్కుటుడి,NOUN
ఆట్కటుడి,NOUN
ఆడ-పి₂,NOUN
ఆడ-ప₂,NOUN
ఆడె,NOUN
ఆడె,NOUN
ఆడెందల్,ADJ
ఆడెదల్,ADJ
ఆడ్కుట్,NOUN
ఆడ్కు్,NOUN
ఆడ్మాడ్సొ,NOUN
ఆడ్మాడ్ొ,NOUN
ఆత,VERB
ఆత,VERB
ఆతంగ్,ADJ
ఆంగ్,ADJ
ఆతకామ్,NOUN
ఆతకా్,NOUN
ఆతల్,ADJ
ఆల్,ADJ
ఆతి,NOUN
ఆతి,NOUN
ఆతెకె,ADV
ఆెకె,ADV
ఆతెర్,NOUN
ఆతె్,NOUN
ఆతొర్,NOUN
ఆొర్,NOUN
ఆతోర్,VERB
ఆతర్,VERB
ఆత్మ,NOUN
ఆ్మ,NOUN
ఆమ్,VERB
ఆమ్,VERB
ఆయ్యక్కై,VERB
ఆయ్యక్ై,VERB
ఆయ్యల్,NOUN
ఆయయల్,NOUN
ఆయ్యల్,VERB
ఆయ్య్,VERB
ఆయ్య్ల్,VERB
ఆ్య్ల్,VERB
ఆరమ్,NOUN
ఆర్,NOUN
ఆరుస్,VERB
ఆరస్,VERB
ఆరూ,NOUN
ఆరూ,NOUN
ఆరెకుట్ట,NOUN
ఆెకుట్ట,NOUN
ఆర్,VERB
ఆర్,VERB
ఆర్తి,NOUN
ఆ్తి,NOUN
ఆర్తెకె,ADJ
ఆ్తెకె,ADJ
ఆర్స్,NOUN
ఆరస్,NOUN
ఆలి,NOUN
ఆలి,NOUN
ఆలు,NOUN
ఆలు,NOUN
ఆల్మురి,NOUN
ఆల్ముి,NOUN
ఆవజ్,NOUN
ఆవ్,NOUN
ఆవర,VERB
ఆవర,VERB
ఆవుస్,NOUN
ఆవస్,NOUN
ఆవూక్,NOUN
ఆవూ్,NOUN
ఆవ్రి,VERB
ఆ్రి,VERB
ఆవ్వల్,VERB
ఆవ్ల్,VERB
ఆస,NOUN
ఆస,NOUN
ఆస,VERB
ఆస,VERB
ఆసర,NOUN
ఆసర,NOUN
ఆసిర్యాద్,VERB
ఆసిర్యద్,VERB
ఆసిసాడిత,VERB
ఆసిాడిత,VERB
ఆస్కుడ్,NOUN
ఆస్కు్,NOUN
ఆస్తి,NOUN
ఆస్ి,NOUN
ఆస్ర,VERB
ఆసర,VERB
ఆస్రమ్,NOUN
ఆస్ర్,NOUN
ఇంకె,NOUN
ఇకె,NOUN
ఇంకెన్,ADV
ఇంెన్,ADV
ఇంగుమ్,NOUN
ఇంుమ్,NOUN
ఇంజన్,NOUN
ఇంజ్,NOUN
ఇంజెర్,ADJ
ఇంజర్,ADJ
ఇగ్గె,NOUN
ఇగ్ె,NOUN
ఇచ్చ,NOUN
ఇచచ,NOUN
ఇచ్చీర్,PRON
ఇచ్చీ్,PRON
ఇచ్చుంగ్,NOUN
ఇచ్ుంగ్,NOUN
ఇచ్చుక్,ADJ
ఇచ్చక్,ADJ
ఇచ్చుర్,ADV
ఇ్చుర్,ADV
ఇచ్చుస,ADJ
ఇచ్చస,ADJ
ఇచ్చోర్,PRON
ఇచ్చో్,PRON
ఇజె,NOUN
ఇజె,NOUN
ఇజ్జత్,NOUN
ఇజజత్,NOUN
ఇట్,VERB
ఇట్,VERB
ఇట్కంగ్,NOUN
ఇట్కగ్,NOUN
ఇట్ట,NOUN
ఇ్ట,NOUN
ఇట్టాన్,VERB
ఇ్టాన్,VERB
ఇత్త,NOUN
ఇ్త,NOUN
ఇత్త,PRON
ఇతత,PRON
ఇత్త,VERB
ఇ్త,VERB
ఇత్తల్,VERB
ఇ్తల్,VERB
ఇవ్విర్,NOUN
ఇవ్వర్,NOUN
ఇసబ్,NOUN
ఇస్,NOUN
ఇసాబ్,NOUN
ఇాబ్,NOUN
ఇసాబ్బె,ADV
ఇసా్బె,ADV
ఇస్టమ్,NOUN
ఇ్టమ్,NOUN
ఇస్టిల్,NOUN
ఇస్టల్,NOUN
ఇస్టుల్,NOUN
ఇస్టల్,NOUN
ఇస్రు,ADJ
ఇసరు,ADJ
ఇహిన్,ADV
ఇిన్,ADV
ఈచ్,VERB
ఈచ్,VERB
ఈపె,ADV
ఈపె,ADV
ఈర్,VERB
ఈర్,VERB
ఈస,NOUN
ఈస,NOUN
ఈసర,NOUN
ఈసర,NOUN
ఈసుల్,NOUN
ఈసల్,NOUN
ఉంది,NUM
ఉంి,NUM
ఉజుడె,NOUN
ఉజుె,NOUN
ఉజుడ్,NOUN
ఉుడ్,NOUN
ఉజుడ్,VERB
ఉుడ్,VERB
ఉజ్జె,VERB
ఉజజె,VERB
ఉటీ,VERB
ఉటీ,VERB
ఉర్స్వల్,NOUN
ఉ్స్వల్,NOUN
ఉల్,NOUN
ఉల్,NOUN
ఉల్లి,NOUN
ఉలలి,NOUN
ఉసిర్,VERB
ఉసి్,VERB
ఉస్,VERB
ఉస్,VERB
ఉస్కె,NOUN
ఉసకె,NOUN
ఉస్క్,NOUN
ఉసక్,NOUN
ఉస్టె,VERB
ఉసటె,VERB
ఉస్మ,NOUN
ఉసమ,NOUN
ఉస్మి,VERB
ఉసమి,VERB
ఉహొ,NOUN
ఉహొ,NOUN
ఉహ్క్,NOUN
ఉహ్్,NOUN
ఉహ్చ్చ,VERB
ఉ్చ్చ,VERB
ఉహ్లాన్,VERB
ఉహలాన్,VERB
ఉహ్వల్,NOUN
ఉహవల్,NOUN
ఊంగ్వల్₂,NOUN
ఊంగవల్₂,NOUN
ఊండ్,NOUN
ఊం్,NOUN
ఊకడ్,NOUN
ఊక్,NOUN
ఊచ్,NOUN
ఊచ్,NOUN
ఊటడ్,NOUN
ఊడ్,NOUN
ఊటి,VERB
ఊటి,VERB
ఊటెడ,NOUN
ఊెడ,NOUN
ఊడి,VERB
ఊడి,VERB
ఊడ్,NOUN
ఊడ్,NOUN
ఊడ్తవాలె,ADJ
ఊ్తవాలె,ADJ
ఊడ్వల్,NOUN
ఊ్వల్,NOUN
ఊతర్,NOUN
ఊత్,NOUN
ఊతి,NOUN
ఊతి,NOUN
ఊత్వల్,NOUN
ఊత్వ్,NOUN
ఊదర్,NOUN
ఊర్,NOUN
ఊమ్,VERB
ఊమ్,VERB
ఊయిల,NOUN
ఊయల,NOUN
ఊయ్సర్,ADJ
ఊ్సర్,ADJ
ఊల్,VERB
ఊల్,VERB
ఊస,NOUN
ఊస,NOUN
ఊసి,NOUN
ఊసి,NOUN
ఊస్₁,VERB
ఊ్₁,VERB
ఊస్₂,ADJ
ఊ్₂,ADJ
ఊస్₃,VERB
ఊస₃,VERB
ఎకరి,ADV
ఎరి,ADV
కంచెర,NOUN
కంెర,NOUN
కంజ్క్,VERB
కజ్క్,VERB
కండి,NUM
కడి,NUM
కండి,VERB
కంి,VERB
కచెడ,NOUN
కచడ,NOUN
కచ్,VERB
కచ్,VERB
కచ్చి,NOUN
కచ్ి,NOUN
కచ్చుడ్,NOUN
కచ్ుడ్,NOUN
కజూర్,NOUN
కజర్,NOUN
కటర్,NOUN
కట్,NOUN
కటింత,ADV
కటిత,ADV
